name;rubric;address;rating;reviews;phones;socials;2gis_url
"Первый Потолочный";"натяжные потолки";"Сахалинская улица, 1в";"5";"1";"+7-902-480-63-52";"";"https://2gis.ru/vladivostok/firm/70000001114594253"
"Прайд, натяжные потолки";"натяжные потолки";"";"1";"1";"+7-962-338-69-15, +7 (423) 277-98-88";"telegram";"https://2gis.ru/vladivostok/firm/70000001068416868"
"Примкей";"натяжные потолки";"";"5";"1";"+7-914-790-12-23, +7-914-701-10-11";"telegram";"https://2gis.ru/vladivostok/firm/70000001087555197"
"Многопрофильная компания";"натяжные потолки";"1-я Рабочая улица, 107";"1.4";"1";"+7-914-793-33-85";"";"https://2gis.ru/vladivostok/firm/3518966490026395"
"Mebel.Veronika";"мебель на заказ";"улица Калинина, 231в к2";"5";"1";"+7-994-009-60-72";"";"https://2gis.ru/vladivostok/firm/70000001060060764"
"Бизнес-Информ, бухгалтерские и юридические услуги";"юридические услуги";"улица Станюковича, 48/9";"5";"1";"+7 (423) 254-26-97, +7-902-524-26-97";"";"https://2gis.ru/vladivostok/firm/70000001030315174"
"Чистый Блеск";"клининговая компания";"улица Нейбута, 63Б";"5";"1";"+7-951-008-04-44";"vkontakte";"https://2gis.ru/vladivostok/firm/70000001114316959"
"Золушка vl, клининговая компания";"клининговая компания";"";"5";"1";"+7-902-553-73-58";"";"https://2gis.ru/vladivostok/firm/70000001033918410"
"Estel, салон-бутик";"салон красоты";"Шилкинская улица, 36а";"5";"1";"+7-908-997-77-61";"";"https://2gis.ru/vladivostok/firm/70000001116568638"
"Оконный хаб, компания";"пластиковые окна";"Уткинская улица, 19";"1";"1";"+7-924-120-92-90";"";"https://2gis.ru/vladivostok/firm/70000001094567616"
"Владсервис, торгово-сервисная компания";"пластиковые окна";"Снеговая улица, 18Б";"1";"1";"+7 (423) 272-99-17";"";"https://2gis.ru/vladivostok/firm/70000001025279722"
"Восток, сервисный центр";"автосервис";"Енисейская улица, 23а";"";"0";"+7 (423) 234-70-22";"";"https://2gis.ru/vladivostok/firm/70000001115638818"
"Потолки Дв";"натяжные потолки";"";"";"0";"+7-902-480-75-10";"";"https://2gis.ru/vladivostok/firm/70000001065481126"
"Потолки всем, торгово-монтажная компания";"натяжные потолки";"";"";"0";"+7 (423) 275-77-07";"telegram";"https://2gis.ru/vladivostok/firm/3518966489878122"
"Лучший дом";"натяжные потолки";"";"";"0";"+7-914-682-69-51, +7-914-337-25-20";"";"https://2gis.ru/vladivostok/firm/70000001062566063"
"Авангард, завод натяжных потолков";"натяжные потолки";"Русская улица, 63";"";"0";"+7 (423) 200-13-75, +7-924-130-98-30";"";"https://2gis.ru/vladivostok/firm/70000001100305059"
"Vlpotolok, натяжные потолки";"натяжные потолки";"1-я Рабочая улица, 44а";"";"0";"+7-914-969-48-88";"telegram";"https://2gis.ru/vladivostok/firm/70000001114601612"
"Совместная строительная компания";"ремонт квартир";"Бородинская улица, 20а ст4";"";"0";"+7-962-333-77-66";"";"https://2gis.ru/vladivostok/firm/70000001102239964"
"Грин лайф";"клининговая компания";"Некрасовская улица, 36Б";"";"0";"+7-984-198-81-00";"";"https://2gis.ru/vladivostok/firm/70000001112880080"
"2ДВ";"клининговая компания";"улица Кирова, 25в";"";"0";"+7-999-618-15-11, +7-908-964-41-45";"";"https://2gis.ru/vladivostok/firm/70000001116063421"
"Клининг-Сервис";"клининговая компания";"Русская улица, 83";"";"0";"+7-908-993-96-66";"";"https://2gis.ru/vladivostok/firm/70000001111152062"
"ЭРСО, ремонтно-сервисное объединение";"клининговая компания";"улица Сабанеева, 14в";"";"0";"+7-994-000-00-97, +7-924-131-08-04";"";"https://2gis.ru/vladivostok/firm/70000001094183422"
"Панорама, производственная компания";"пластиковые окна";"Выселковая улица, 12а";"";"0";"+7-902-050-44-60";"telegram";"https://2gis.ru/vladivostok/firm/70000001069128425"
"Флагман, компания";"пластиковые окна";"Русская улица, 94а";"";"0";"+7-904-629-23-31";"";"https://2gis.ru/vladivostok/firm/70000001066405478"
"Р-строй, монтажно-строительная компания";"пластиковые окна";"Русская улица, 41а";"";"0";"+7 (423) 232-55-93";"";"https://2gis.ru/vladivostok/firm/3518965489878490"
"Цех";"пластиковые окна";"проспект 100-летия Владивостока, 127";"";"0";"+7-914-687-70-77";"";"https://2gis.ru/vladivostok/firm/70000001081303967"
"Кульман, архитектурно-проектная компания";"ландшафтный дизайн";"проспект Красного Знамени, 114а";"";"0";"+7 (423) 276-43-82";"";"https://2gis.ru/vladivostok/firm/70000001034569430"
"Архибат, проектная мастерская";"ландшафтный дизайн";"Нерчинская улица, 10";"";"0";"+7 (423) 262-14-77";"";"https://2gis.ru/vladivostok/firm/70000001026074644"
"Ad Group Architecture&Interior";"ландшафтный дизайн";"Тигровая улица, 16а";"";"0";"+7-914-710-73-82, +7-904-629-34-35";"telegram";"https://2gis.ru/vladivostok/firm/70000001052811328"
"Ремонт пространства, компания";"ландшафтный дизайн";"улица Ватутина, 4д";"";"0";"+7-953-204-68-88";"";"https://2gis.ru/vladivostok/firm/70000001115181044"
"Владсад, озеленение и благоустройство";"ландшафтный дизайн";"Иртышская улица, 23";"";"0";"+7-914-791-92-20, +7-914-707-17-51";"";"https://2gis.ru/vladivostok/firm/3518965489898571"
"Дома, строительная компания";"ландшафтный дизайн";"улица Басаргина, 38";"";"0";"+7-908-992-56-02, +7-950-285-94-09";"";"https://2gis.ru/vladivostok/firm/70000001116293306"
"Архитектор, дизайн-студия";"ландшафтный дизайн";"1-я Круговая улица, 25а";"";"0";"+7 (423) 295-50-00";"";"https://2gis.ru/vladivostok/firm/3518965489871509"
"Импрува, мастерская генплана и архитектурных решений";"ландшафтный дизайн";"Русская улица, 27в";"";"0";"+7-963-839-99-92";"telegram";"https://2gis.ru/vladivostok/firm/70000001100088433"
"Сажени, торговая компания";"ландшафтный дизайн";"Лесная улица, 12 ст15";"";"0";"+7-967-958-66-16";"telegram,vkontakte,odnoklassniki";"https://2gis.ru/vladivostok/firm/70000001097370280"
"Фэн-шуй, консалтинговая компания";"ландшафтный дизайн";"";"";"0";"+7-914-791-67-94";"";"https://2gis.ru/vladivostok/firm/70000001020597827"
"Пластика, ландшафтное бюро";"ландшафтный дизайн";"";"";"0";"+7-914-791-42-23";"";"https://2gis.ru/vladivostok/firm/70000001026174676"
"Ас-Мастер, архитектурно-проектная мастерская";"ландшафтный дизайн";"";"";"0";"+7-924-236-77-02";"";"https://2gis.ru/vladivostok/firm/70000001026545804"
"СадовникВл";"ландшафтный дизайн";"";"";"0";"+7-924-252-67-99";"";"https://2gis.ru/vladivostok/firm/70000001096894649"
"Проречь";"детский центр";"улица Ладыгина, 7";"";"0";"+7-914-735-24-57";"vkontakte,telegram";"https://2gis.ru/vladivostok/firm/70000001101722675"
